plant,unstudied_count,studied_count,well_studied_count,total_claims,gap_pct,unstudied_diseases,top_studied
Sida rhombifolia,21,5,0,26,80.8,Abdomen; Abortive; Aphrodisiac; Boil; Chickenpox; Constipation; Cramps; Delirium; Dysmenorrhea; Enterosis; Fracture; Ache(Head); Ophthalmia; Sty; Swelling,Tuberculosis (1); Tumor (1); Wound (1); Fever (2); Rheumatism (1)
Hydrocotyle asiatica,20,2,0,22,90.9,Asthma; Depurative; Fever; Hematuria; Hepatosis; Hysteria; Otosis; Piles; Rheumatism; Sore; Urethritis; Vertigo; Wound; Diuretic; Bronchitis,Dysentery (1); Leprosy (1)
Nigella sativum,20,0,0,20,100.0,Abdomen; Amenorrhea; Colic; Constipation; Debility; Hepatomegaly; Ophthalmia; Parturition; Rheumatism; Vertigo; Chest; Herpes; Panacea; Sapraemia; Fever,
Musa sapientum,19,3,0,22,86.4,Blister; Catarrh; Circumscission; Colitis; Dengue; Dysuria; Enteritis; Enterorrhagia; Epistaxis; Fever(Remittent); Hemostat; Metrorrhagia; Parturition; Pharyngitis; Piles,Diarrhea (5); Dysentery (2); Fever (1)
Sophora tomentosa,18,0,0,18,100.0,Cholera; Colic; Diarrhea; Dysentery; Dysuria; Food poisoning; Gonorrhea; Hematuria; Hemoptysis; Panacea; Pyuria; Stomach; Swelling; Abdomen; Antidote(Fish poison),
Moringa oleifera,17,4,0,21,81.0,Beriberi; Dermatosis; Dropsy; Drunkenness; Emmenagogue; Expectorant; Gonorrhea; Ache(Head); Lactafuge; Lameness; Numbness; Syphilis; Tremors; Vermifuge; Emetic,Abortive (1); Diuretic (9); Parturition (4); Fever (13)
Gendarussa vulgaris,16,0,0,16,100.0,Amenorrhea; Cough; Debility; Fever; Gastrosis; Gonorrhea; Ache(Head); Lunacy; Malaria; Myalgia; Renosis; Rheumatism; Bite(Snake); Swelling; Thrush,
Zingiber cassumunar,16,1,0,17,94.1,Anodyne; Colic; Constipation; Fever; Flatulence; Gonorrhea; Ache(Head); Jaundice; Malaria; Parturition; Ache(Stomach); Abdomen; Cramps; Spice; Vermifuge,Cosmetic (1)
Urena lobata,16,1,0,17,94.1,Anodyne; Colic; Diarrhea; Dysentery; Emollient; Fever; Gonorrhea; Ache(Head); Hematochezia; Hemostat; Inflammation; Sore; Yaws; Abdomen; Bladder,Intestine (1)
Morinda citrifolia,15,7,1,22,68.2,Beriberi; Chest; Colic; Convulsion; Cough; Dysuria; Emmenagogue; Leukorrhea; Sapraemia; Splenomegaly; Abdomen; Smallpox; Ague; Hepatosis; Sore,Diabetes (29); Diarrhea (3); Laxative (1); Shampoo (1); Swelling (4)
