plant_latin_name,disease_condition,pubmed_count,evidence_level,source_databases,top_pmids
Abelmoschus esculentus,Syphilis,0,none,dr_duke,
Abelmoschus manihot,Cancer,11,moderate,dr_duke,
Abelmoschus manihot,Cancer(Stomach),0,none,dr_duke,
Abelmoschus manihot,Stomach,1,limited,dr_duke,
Abelmoschus moschatus,Boil,0,none,dr_duke,
Abelmoschus moschatus,Cancer,1,limited,dr_duke,
Abelmoschus moschatus,Stomach,0,none,dr_duke,
Abelmoschus moschatus,Hysteria,0,none,dr_duke,
Abroma augusta,Scabies,0,none,dr_duke,
Abrus precatorius,Colic,0,none,dr_duke,
Abrus precatorius,Cough,2,limited,dr_duke,
Abrus pulchellus,Colic,0,none,dr_duke,
Abutilon indicum,Demulcent,1,limited,dr_duke,
Abutilon indicum,Sore,0,none,dr_duke,
Abutilon indicum,Ulcer,1,limited,dr_duke,
Abutilon indicum,Wound,0,none,dr_duke,
Abutilon indicum,Fever,2,limited,dr_duke,
Abutilon indicum,Rheumatism,0,none,dr_duke,
Acacia catechu,Masticatory,0,none,dr_duke,
Acacia farnesiana,Conjunctivitis,0,none,dr_duke,
Acacia farnesiana,Emetic,0,none,dr_duke,
Acacia farnesiana,Nausea,0,none,dr_duke,
Acacia farnesiana,Ophthalmia,0,none,dr_duke,
Acacia farnesiana,Tumor,3,limited,dr_duke,
Acacia farnesiana,Parturition,0,none,dr_duke,
Acacia pleuripetala,Diarrhea,37,well_studied,dr_duke,
Acacia pseudointsia,Ache(Head),0,none,dr_duke,
Acacia pseudointsia,Smallpox,3,limited,dr_duke,
Acalypha acrdiophylla,Sore,0,none,dr_duke,
Acalypha cardiophylla,Ache(Head),0,none,dr_duke,
Acalypha hispida,Asthma,1,limited,dr_duke,
Acalypha hispida,Diuretic,0,none,dr_duke,
Acalypha hispida,Expectorant,0,none,dr_duke,
Acalypha hispida,Gonorrhea,0,none,dr_duke,
Acalypha hispida,Hemoptysis,0,none,dr_duke,
Acalypha hispida,Laxative,0,none,dr_duke,
Acalypha hispida,Sore,0,none,dr_duke,
Acalypha hispida,Leprosy,0,none,dr_duke,
Acalypha indica,Purgative,0,none,dr_duke,
Acalypha siamensis,Bowel,0,none,dr_duke,
Acalypha siamensis,Fever,0,none,dr_duke,
Acalypha siamensis,Renosis,0,none,dr_duke,
Acanthus ebracteatus,Alopecia,2,limited,dr_duke,
Acanthus ebracteatus,Insanity,0,none,dr_duke,
Acanthus ebracteatus,Shingles,0,none,dr_duke,
Acanthus ilicifolius,Anodyne,0,none,dr_duke,
Acanthus ilicifolius,Gas,1,limited,dr_duke,
Acanthus mollis,Vulnerary,0,none,dr_duke,
Achyranthes aspera,Cataract,0,none,dr_duke,
Achyranthes aspera,Convulsion,0,none,dr_duke,
Achyranthes aspera,Dysentery,5,limited,dr_duke,
Achyranthes aspera,Hematochezia,0,none,dr_duke,
Achyranthes aspera,Ophthalmia,1,limited,dr_duke,
Achyranthes aspera,Cough,5,limited,dr_duke,
Achyranthes aspera,Diuretic,3,limited,dr_duke,
Achyranthes bidentata,Aphthae,0,none,dr_duke,
Achyranthes bidentata,Tumor,34,well_studied,dr_duke,
Achyranthes bidentata,Vermifuge,0,none,dr_duke,
Achyranthes nodiflora,Gray hair,0,none,dr_duke,
