plant_latin_name,total_claims,no_evidence,limited,moderate,well_studied,gap_percentage,diseases
Abelmoschus esculentus,1,1,0,0,0,100.0,Syphilis
Abelmoschus manihot,3,1,1,1,0,33.3,Cancer; Cancer(Stomach); Stomach
Abelmoschus moschatus,4,3,1,0,0,75.0,Boil; Cancer; Stomach; Hysteria
Abroma augusta,1,1,0,0,0,100.0,Scabies
Abrus precatorius,2,1,1,0,0,50.0,Colic; Cough
Abrus pulchellus,1,1,0,0,0,100.0,Colic
Abutilon indicum,6,3,3,0,0,50.0,Demulcent; Sore; Ulcer; Wound; Fever; Rheumatism
Acacia catechu,1,1,0,0,0,100.0,Masticatory
Acacia farnesiana,6,5,1,0,0,83.3,Conjunctivitis; Emetic; Nausea; Ophthalmia; Tumor; Parturition
Acacia pleuripetala,1,0,0,0,1,0.0,Diarrhea
Acacia pseudointsia,2,1,1,0,0,50.0,Ache(Head); Smallpox
Acalypha acrdiophylla,1,1,0,0,0,100.0,Sore
Acalypha cardiophylla,1,1,0,0,0,100.0,Ache(Head)
Acalypha hispida,8,7,1,0,0,87.5,Asthma; Diuretic; Expectorant; Gonorrhea; Hemoptysis; Laxative; Sore; Leprosy
Acalypha indica,1,1,0,0,0,100.0,Purgative
Acalypha siamensis,3,3,0,0,0,100.0,Bowel; Fever; Renosis
Acanthus ebracteatus,3,2,1,0,0,66.7,Alopecia; Insanity; Shingles
Acanthus ilicifolius,2,1,1,0,0,50.0,Anodyne; Gas
Acanthus mollis,1,1,0,0,0,100.0,Vulnerary
Achyranthes aspera,7,3,4,0,0,42.9,Cataract; Convulsion; Dysentery; Hematochezia; Ophthalmia; Cough; Diuretic
Achyranthes bidentata,3,2,0,0,1,66.7,Aphthae; Tumor; Vermifuge
Achyranthes nodiflora,3,3,0,0,0,100.0,Gray hair; Ache(Head); Fever
Acorus calamus,9,6,2,0,1,66.7,Diarrhea; Odontosis; Parturition; Pediculifuge; Sedative; Venereal; Vermifuge; Cancer; Splenomegaly
Acronychia laurifolia,1,1,0,0,0,100.0,Piscicide
Acrostichum aureum,2,2,0,0,0,100.0,Wound; Boil
Actinodaphne angustifolia,1,1,0,0,0,100.0,Fever
Actinodaphne moluccana,3,3,0,0,0,100.0,Boil; Wound; Splinter
Actinorhytis calapparia,3,3,0,0,0,100.0,Itch; Scabies; Scurf
Adenanthera pavonina,1,1,0,0,0,100.0,Tonic
Adenia cordifolia,1,1,0,0,0,100.0,Conjunctivitis
Adenostemma lavenia,4,3,1,0,0,75.0,Fever; Ache(Head); Diarrhea; Poultice
Adiantum caudatum,1,1,0,0,0,100.0,Chest
Adiantum lunulatum,2,2,0,0,0,100.0,Colic; Diarrhea
Adina polycephala,1,1,0,0,0,100.0,Stimulant
Aegiceras corniculatum,1,0,1,0,0,0.0,Piscicide
Aegle marmelos,13,7,4,2,0,53.8,Abortifacient; Aftosa; Diarrhea; Itch; Piscicide; Proctitis; Sterilizant; Constipation; Dysentery; Dyspepsia; Nausea; Palpitation; Sore
Aerva lanata,3,2,1,0,0,66.7,Debility; Inflammation; Swelling
Aerva sanguinolenta,4,4,0,0,0,100.0,Dysmenorrhea; Leucorrhea; Pyuria; Hematuria
Aerva sp,1,1,0,0,0,100.0,Ache(Tooth)
Aganosma marginata,4,4,0,0,0,100.0,Emmenagogue; Fever; Urogenital; Tonic
Agathis alba,2,2,0,0,0,100.0,Leech-repellant; Liniment
Agelaea trinervis,3,3,0,0,0,100.0,Aphrodisiac; Rheumatism; Ache(Stomach)
Ageratum conyzoides,6,3,2,1,0,50.0,Fever; Poultice; Wound; Boil; Dysentery; Vulnerary
Aglaia glomerata,2,2,0,0,0,100.0,Anasarca; Anodyne
Aglaia llanosiana,1,0,0,1,0,0.0,Fracture
Aglaia odorata,5,5,0,0,0,100.0,Dysmenorrhea; Fever; Parturition; Tonic; Venereal
Aglaia odoratissimaa,1,1,0,0,0,100.0,Perfumery
Aglaia sp,1,1,0,0,0,100.0,Dentifrice
Aglaonema angustifolium,2,2,0,0,0,100.0,Dropsy; Fever
Aglaonema oblongifolium,1,1,0,0,0,100.0,Swelling
Agrostistachys borneensis,1,1,0,0,0,100.0,Toothblack
Ailanthus triphysa,2,2,0,0,0,100.0,Incense; Tonic
Albizia myriophylla,1,0,1,0,0,0.0,Fever
Albizia saponaria,5,5,0,0,0,100.0,Cancer; Impotency; Piscicide; Shampoo; Dandruff
Alchornea villosa,2,2,0,0,0,100.0,Antidote(Pithecellobium); Itch
Aleurites moluccana,11,9,2,0,0,81.8,Diarrhea; Gonorrhea; Ache(Head); Sprue; Ache(Stomach); Aphrodisiac; Dysentery; Fever; Sciatica; Sore; Swelling
Allium ascalonium,9,4,1,3,1,44.4,Amenorrhea; Cholera; Diarrhea; Ophthalmia; Sore; Ache(Stomach); Ache(Head); Thrush; Vermifuge
Allium sativum,1,1,0,0,0,100.0,Vermifuge
Allium triquetrum,1,1,0,0,0,100.0,Tumor
Allomorphia alata,2,2,0,0,0,100.0,Ache(Head); Ache(Stomach)
Allomorphia exigua,2,1,1,0,0,50.0,Fever(Remittent); Parturition
